,gene,rowsums,rank,norm_rank
328,TPO,22.0,356.0,0.32014388489208634
329,IFNL1,65.0,756.5,0.6803057553956835
330,BSG,63.0,740.5,0.6659172661870504
331,SIGLEC1,63.0,740.5,0.6659172661870504
332,TNNI3,36.0,514.5,0.4626798561151079
333,TGFBR2,113.0,929.5,0.8358812949640287
334,MB,49.0,639.5,0.575089928057554
335,IL6R,133.0,979.0,0.8803956834532374
336,ADAMTS13,44.0,586.0,0.5269784172661871
337,SFTPD,45.0,603.0,0.5422661870503597
338,NPPB,31.0,453.5,0.40782374100719426
339,NPPA,63.0,740.5,0.6659172661870504
340,MMEL1,28.0,426.5,0.3835431654676259
341,KRT18,55.0,682.0,0.6133093525179856
342,GCG,78.0,809.0,0.7275179856115108
343,TYK2,118.0,944.0,0.8489208633093526
344,CYP3A4,42.0,562.0,0.5053956834532374
345,FCGR3B,204.0,1060.5,0.9536870503597122
346,CCL5,238.0,1080.5,0.9716726618705036
347,IL17A,238.0,1080.5,0.9716726618705036
348,PRSS2,23.0,365.5,0.32868705035971224
349,ACP1,20.0,328.5,0.2954136690647482
350,DUSP3,15.0,247.5,0.22257194244604317
351,TPI1,75.0,800.5,0.7198741007194245
352,HIBADH,5.0,58.0,0.052158273381294966
353,PGD,19.0,314.0,0.2823741007194245
354,ESD,14.0,233.0,0.20953237410071943
355,TKT,37.0,524.5,0.4716726618705036
356,PPP3CA,31.0,453.5,0.40782374100719426
357,IL22,150.0,1005.0,0.9037769784172662
358,GPNMB,28.0,426.5,0.3835431654676259
359,CD207,45.0,603.0,0.5422661870503597
360,FGF23,81.0,822.0,0.7392086330935251
361,CKB,16.0,262.5,0.2360611510791367
362,DKK1,76.0,804.5,0.7234712230215827
363,DMP1,25.0,389.0,0.3498201438848921
364,ITGB3,134.0,983.0,0.8839928057553957
365,ITGAV,106.0,903.0,0.8120503597122302
366,CA2,28.0,426.5,0.3835431654676259
367,TNFRSF11A,33.0,476.5,0.4285071942446043
368,CSF1,201.0,1057.0,0.9505395683453237
369,TNFRSF11B,21.0,342.5,0.30800359712230213
370,PTH,76.0,804.5,0.7234712230215827
371,ACVR1B,31.0,453.5,0.40782374100719426
372,FSTL3,16.0,262.5,0.2360611510791367
373,TGFBR3,27.0,412.5,0.37095323741007197
374,INHBA,34.0,488.5,0.4392985611510791
375,FST,62.0,731.0,0.6573741007194245
376,AMHR2,20.0,328.5,0.2954136690647482
377,GDF11,21.0,342.5,0.30800359712230213
378,CFC1,2.0,13.0,0.011690647482014389
379,INHBB,20.0,328.5,0.2954136690647482
380,BMP10,16.0,262.5,0.2360611510791367
381,TDGF1,14.0,233.0,0.20953237410071943
382,NOG,65.0,756.5,0.6803057553956835
383,CD55,66.0,763.0,0.6861510791366906
384,IFNGR1,96.0,866.0,0.7787769784172662
385,IL13RA1,69.0,777.0,0.6987410071942446
386,BMPR1A,44.0,586.0,0.5269784172661871
387,BMPR2,60.0,714.0,0.6420863309352518
388,GDF9,17.0,280.5,0.2522482014388489
389,GDF2,27.0,412.5,0.37095323741007197
390,ACVRL1,34.0,488.5,0.4392985611510791
391,AMH,34.0,488.5,0.4392985611510791
392,DLL4,42.0,562.0,0.5053956834532374
393,NOTCH3,63.0,740.5,0.6659172661870504
394,KDR,212.0,1068.0,0.960431654676259
395,CXCL11,119.0,949.0,0.8534172661870504
396,ANGPT2,112.0,922.5,0.8295863309352518
397,HJV,20.0,328.5,0.2954136690647482
398,TEK,102.0,892.0,0.802158273381295
399,BMPER,17.0,280.5,0.2522482014388489
400,CDH5,123.0,961.0,0.8642086330935251
401,ACY1,8.0,124.0,0.11151079136690648
402,HINT1,15.0,247.5,0.22257194244604317
403,SPHK1,35.0,501.0,0.4505395683453237
404,ARG1,110.0,914.0,0.8219424460431655
405,CTSA,18.0,297.5,0.2675359712230216
406,ADAM12,31.0,453.5,0.40782374100719426
407,SFRP1,29.0,439.0,0.3947841726618705
408,HBEGF,116.0,937.0,0.8426258992805755
409,IGFBP5,47.0,622.5,0.5598021582733813
410,CCN4,16.0,262.5,0.2360611510791367
411,ITGA1,61.0,722.0,0.6492805755395683
412,PAPPA,21.0,342.5,0.30800359712230213
413,FGFR1,134.0,983.0,0.8839928057553957
414,PGF,96.0,866.0,0.7787769784172662
415,LAMA1,38.0,532.5,0.47886690647482016
416,ADAM9,25.0,389.0,0.3498201438848921
417,CX3CL1,119.0,949.0,0.8534172661870504
418,FCER2,31.0,453.5,0.40782374100719426
419,IDE,28.0,426.5,0.3835431654676259
420,CXCL16,83.0,830.5,0.7468525179856115
421,ITGB5,52.0,661.5,0.5948741007194245
422,CLEC1B,35.0,501.0,0.4505395683453237
423,GP6,44.0,586.0,0.5269784172661871
424,TEC,9.0,139.0,0.125
425,FGFR2,112.0,922.5,0.8295863309352518
426,SCARB2,145.0,999.5,0.8988309352517986
427,SERPINE2,27.0,412.5,0.37095323741007197
428,CD36,153.0,1011.0,0.9091726618705036
429,JAM2,8.0,124.0,0.11151079136690648
430,COL18A1,97.0,873.0,0.7850719424460432
431,C5,56.0,689.5,0.6200539568345323
432,PRTN3,62.0,731.0,0.6573741007194245
433,CFHR5,31.0,453.5,0.40782374100719426
434,ITGA2B,101.0,888.0,0.7985611510791367
435,CXCL5,118.0,944.0,0.8489208633093526
436,GP1BA,52.0,661.5,0.5948741007194245
437,COL8A1,25.0,389.0,0.3498201438848921
438,PLAUR,98.0,877.5,0.7891187050359713
439,MMP17,9.0,139.0,0.125
440,MDK,36.0,514.5,0.4626798561151079
441,RSPO2,7.0,103.0,0.09262589928057553
442,DDR2,27.0,412.5,0.37095323741007197
443,ADCYAP1,24.0,375.0,0.33723021582733814
444,SCT,21.0,342.5,0.30800359712230213
