names,scores,logfoldchanges,pvals,pvals_adj
ENSG00000260847,-0.034611326,-17.672842,0.9723896689428386,0.9949371357390937
ENSG00000256897,-0.034611326,-20.14401,0.9723896689428386,0.9949371357390937
ENSG00000261325,-0.034611326,-18.465538,0.9723896689428386,0.9949371357390937
ENSG00000142025,-0.034611326,-18.276743,0.9723896689428386,0.9949371357390937
ENSG00000173452,-0.034611326,-18.315626,0.9723896689428386,0.9949371357390937
ENSG00000185758,-0.034611326,-17.401548,0.9723896689428386,0.9949371357390937
ENSG00000235154,-0.034611326,-17.70246,0.9723896689428386,0.9949371357390937
ENSG00000243636,-0.034611326,-18.313147,0.9723896689428386,0.9949371357390937
ENSG00000227253,-0.034611326,-18.556976,0.9723896689428386,0.9949371357390937
ENSG00000273172,-0.034611326,-19.005596,0.9723896689428386,0.9949371357390937
ENSG00000223834,-0.034611326,-19.083166,0.9723896689428386,0.9949371357390937
ENSG00000233642,-0.034611326,-18.816774,0.9723896689428386,0.9949371357390937
ENSG00000250532,-0.034611326,-17.604692,0.9723896689428386,0.9949371357390937
ENSG00000109272,-0.034611326,-22.163755,0.9723896689428386,0.9949371357390937
ENSG00000273257,-0.034611326,-18.486885,0.9723896689428386,0.9949371357390937
ENSG00000227857,-0.034611326,-20.630188,0.9723896689428386,0.9949371357390937
ENSG00000205097,-0.034611326,-17.966497,0.9723896689428386,0.9949371357390937
ENSG00000267662,-0.034611326,-18.682728,0.9723896689428386,0.9949371357390937
ENSG00000253888,-0.034611326,-18.521055,0.9723896689428386,0.9949371357390937
ENSG00000237990,-0.034611326,-17.236874,0.9723896689428386,0.9949371357390937
ENSG00000261172,-0.034611326,-17.47593,0.9723896689428386,0.9949371357390937
ENSG00000274954,-0.034611326,-17.779474,0.9723896689428386,0.9949371357390937
ENSG00000259773,-0.034611326,-17.988075,0.9723896689428386,0.9949371357390937
ENSG00000286385,-0.034611326,-19.416382,0.9723896689428386,0.9949371357390937
ENSG00000230500,-0.034611326,-18.293612,0.9723896689428386,0.9949371357390937
ENSG00000272321,-0.034611326,-17.899294,0.9723896689428386,0.9949371357390937
ENSG00000239922,-0.034611326,-18.39827,0.9723896689428386,0.9949371357390937
ENSG00000180332,-0.034611326,-19.23792,0.9723896689428386,0.9949371357390937
ENSG00000228277,-0.034611326,-18.08522,0.9723896689428386,0.9949371357390937
ENSG00000231902,-0.034611326,-18.468523,0.9723896689428386,0.9949371357390937
ENSG00000204889,-0.034611326,-17.408825,0.9723896689428386,0.9949371357390937
ENSG00000254057,-0.034611326,-18.759514,0.9723896689428386,0.9949371357390937
ENSG00000227047,-0.034611326,-18.15123,0.9723896689428386,0.9949371357390937
ENSG00000287881,-0.034611326,-18.5083,0.9723896689428386,0.9949371357390937
ENSG00000227718,-0.034611326,-19.035345,0.9723896689428386,0.9949371357390937
ENSG00000272825,-0.034611326,-19.91319,0.9723896689428386,0.9949371357390937
ENSG00000275576,-0.034611326,-18.184168,0.9723896689428386,0.9949371357390937
ENSG00000180424,-0.034611326,-19.239035,0.9723896689428386,0.9949371357390937
ENSG00000253968,-0.034611326,-18.152557,0.9723896689428386,0.9949371357390937
ENSG00000273523,-0.034611326,-19.298265,0.9723896689428386,0.9949371357390937
ENSG00000277893,-0.034611326,-18.459505,0.9723896689428386,0.9949371357390937
ENSG00000229732,-0.034611326,-17.721294,0.9723896689428386,0.9949371357390937
ENSG00000270157,-0.034611326,-18.077202,0.9723896689428386,0.9949371357390937
ENSG00000137098,-0.034611326,-19.728886,0.9723896689428386,0.9949371357390937
ENSG00000264304,-0.034611326,-18.531004,0.9723896689428386,0.9949371357390937
ENSG00000214534,-0.034611326,-18.00097,0.9723896689428386,0.9949371357390937
ENSG00000281450,-0.034611326,-19.67175,0.9723896689428386,0.9949371357390937
ENSG00000204091,-0.034611326,-18.553055,0.9723896689428386,0.9949371357390937
ENSG00000267686,-0.034611326,-17.781576,0.9723896689428386,0.9949371357390937
ENSG00000272682,-0.034611326,-17.88118,0.9723896689428386,0.9949371357390937
ENSG00000272114,-0.034611326,-19.299099,0.9723896689428386,0.9949371357390937
ENSG00000137204,-0.034611326,-18.02622,0.9723896689428386,0.9949371357390937
ENSG00000268324,-0.034611326,-18.937109,0.9723896689428386,0.9949371357390937
ENSG00000269091,-0.034611326,-18.559244,0.9723896689428386,0.9949371357390937
ENSG00000244650,-0.034611326,-17.764446,0.9723896689428386,0.9949371357390937
ENSG00000161652,-0.034611326,-20.423695,0.9723896689428386,0.9949371357390937
ENSG00000273664,-0.034611326,-17.991781,0.9723896689428386,0.9949371357390937
ENSG00000276403,-0.034611326,-18.29032,0.9723896689428386,0.9949371357390937
ENSG00000259357,-0.034611326,-17.707895,0.9723896689428386,0.9949371357390937
ENSG00000258847,-0.034611326,-17.945074,0.9723896689428386,0.9949371357390937
ENSG00000272862,-0.034611326,-18.133682,0.9723896689428386,0.9949371357390937
ENSG00000204683,-0.034611326,-17.948174,0.9723896689428386,0.9949371357390937
ENSG00000225213,-0.034611326,-18.318645,0.9723896689428386,0.9949371357390937
ENSG00000226140,-0.034611326,-19.002104,0.9723896689428386,0.9949371357390937
ENSG00000263338,-0.034611326,-18.087006,0.9723896689428386,0.9949371357390937
ENSG00000149534,-0.034611326,-17.808764,0.9723896689428386,0.9949371357390937
ENSG00000251293,-0.034611326,-18.65541,0.9723896689428386,0.9949371357390937
ENSG00000258670,-0.034611326,-17.793161,0.9723896689428386,0.9949371357390937
ENSG00000258952,-0.034611326,-18.759361,0.9723896689428386,0.9949371357390937
ENSG00000231274,-0.034611326,-18.1904,0.9723896689428386,0.9949371357390937
ENSG00000117215,-0.034611326,-20.365309,0.9723896689428386,0.9949371357390937
ENSG00000225986,-0.034611326,-18.055298,0.9723896689428386,0.9949371357390937
ENSG00000260454,-0.034611326,-18.061739,0.9723896689428386,0.9949371357390937
ENSG00000277870,-0.034611326,-17.80802,0.9723896689428386,0.9949371357390937
ENSG00000281530,-0.034611326,-18.177977,0.9723896689428386,0.9949371357390937
ENSG00000163794,-0.034611326,-17.36519,0.9723896689428386,0.9949371357390937
ENSG00000213648,-0.034611326,-18.765976,0.9723896689428386,0.9949371357390937
ENSG00000162344,-0.034611326,-17.909668,0.9723896689428386,0.9949371357390937
ENSG00000250105,-0.034611326,-18.196344,0.9723896689428386,0.9949371357390937
ENSG00000253858,-0.034611326,-18.090433,0.9723896689428386,0.9949371357390937
ENSG00000188130,-0.034611326,-18.946173,0.9723896689428386,0.9949371357390937
ENSG00000162728,-0.034611326,-18.910591,0.9723896689428386,0.9949371357390937
ENSG00000286465,-0.034611326,-19.82485,0.9723896689428386,0.9949371357390937
ENSG00000197745,-0.034611326,-18.833984,0.9723896689428386,0.9949371357390937
ENSG00000162543,-0.034611326,-19.01301,0.9723896689428386,0.9949371357390937
ENSG00000287458,-0.034611326,-21.296282,0.9723896689428386,0.9949371357390937
ENSG00000256029,-0.034611326,-18.41785,0.9723896689428386,0.9949371357390937
ENSG00000287624,-0.034611326,-17.69764,0.9723896689428386,0.9949371357390937
ENSG00000100312,-0.034611326,-17.260147,0.9723896689428386,0.9949371357390937
ENSG00000227773,-0.034611326,-18.180761,0.9723896689428386,0.9949371357390937
ENSG00000196566,-0.034611326,-20.316303,0.9723896689428386,0.9949371357390937
ENSG00000073150,-0.034611326,-18.757013,0.9723896689428386,0.9949371357390937
ENSG00000130487,-0.034611326,-18.256014,0.9723896689428386,0.9949371357390937
ENSG00000254756,-0.034611326,-17.441032,0.9723896689428386,0.9949371357390937
ENSG00000106236,-0.03469035,0.20168485,0.9723266569112475,0.9949371357390937
ENSG00000236817,-0.03469035,0.19785975,0.9723266569112475,0.9949371357390937
ENSG00000132031,-0.03476937,1.0230789,0.9722636450523896,0.9949371357390937
ENSG00000272990,-0.034848392,-1.3274789,0.972200633366658,0.9949371357390937
ENSG00000158856,-0.034848392,-0.35258803,0.972200633366658,0.9949371357390937
ENSG00000182901,-0.034927413,1.9313905,0.9721376218544453,0.9949371357390937
ENSG00000144619,-0.034927413,1.5648824,0.9721376218544453,0.9949371357390937
ENSG00000128254,-0.035006434,-0.78273594,0.9720746105161447,0.9949371357390937
ENSG00000241769,-0.035085455,1.5767142,0.9720115993521494,0.9949371357390937
ENSG00000240591,-0.035164475,-0.24226333,0.9719485883628521,0.9949371357390937
ENSG00000164105,-0.03540154,0.8184412,0.9717595564470786,0.9949371357390937
ENSG00000213934,-0.035480563,-0.79687613,0.9716965461605034,0.9949371357390937
ENSG00000204366,-0.035480563,-1.0570207,0.9716965461605034,0.9949371357390937
ENSG00000247735,-0.035638604,-1.2107514,0.9715705261177349,0.9949371357390937
ENSG00000165185,-0.035796646,0.7755814,0.9714445067847618,0.9949371357390937
ENSG00000231407,-0.035954688,-1.506986,0.9713184881647278,0.9949371357390937
ENSG00000163946,-0.036270775,0.66952986,0.9710664530760514,0.9949371357390937
ENSG00000241360,-0.036349796,0.9635509,0.971003444754381,0.9949371357390937
ENSG00000107443,-0.036665883,0.59454465,0.9707514132814822,0.9949371357390937
