ID,SeqId,SeqIdVersion,SomaId,TargetFullName,Target,UniProt,EntrezGeneID,EntrezGeneSymbol,Organism,Units,Type,SPOT_ID
AKR1C1.12618.50,12618-50,3.0,SL008344,Aldo-keto reductase family 1 member C1,Aldo-keto reductase 1C1,Q04828,1645,AKR1C1,Human,RFU,Protein,SL008344
PPM1A.12619.14,12619-14,3.0,SL004719,Protein phosphatase 1A,Protein phophatase 2Ca,P35813,5494,PPM1A,Human,RFU,Protein,SL004719
SEPTIN11.12620.3,12620-3,3.0,SL011301,Septin-11,Septin-11,Q9NVA2,55752,SEPTIN11,Human,RFU,Protein,SL011301
PPP2R1A.12621.55,12621-55,3.0,SL008081,Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform,PP2AAA,P30153,5518,PPP2R1A,Human,RFU,Protein,SL008081
ASH1L.12622.96,12622-96,3.0,SL019786,Histone-lysine N-methyltransferase ASH1L,ASH1L,Q9NR48,55870,ASH1L,Human,RFU,Protein,SL019786
JARID2.12623.84,12623-84,3.0,SL019793,Protein Jumonji,JARD2,Q92833,3720,JARID2,Human,RFU,Protein,SL019793
KLHL7.12625.138,12625-138,3.0,SL019811,Kelch-like protein 7,KLHL7,Q8IXQ5,55975,KLHL7,Human,RFU,Protein,SL019811
SENP7.12626.6,12626-6,3.0,SL019816,Sentrin-specific protease 7,SENP7,Q9BQF6,57337,SENP7,Human,RFU,Protein,SL019816
ATG7.12627.97,12627-97,3.0,SL019821,Ubiquitin-like modifier-activating enzyme ATG7,ATG7,O95352,10533,ATG7,Human,RFU,Protein,SL019821
LANCL2.12628.31,12628-31,3.0,SL019826,LanC-like protein 2,LANC2,Q9NS86,55915,LANCL2,Human,RFU,Protein,SL019826
ARFIP2.12630.8,12630-8,3.0,SL019787,Arfaptin-2,ARFP2,P53365,23647,ARFIP2,Human,RFU,Protein,SL019787
NAT1.12632.14,12632-14,3.0,SL019805,Arylamine N-acetyltransferase 1,ARY1,P18440,9,NAT1,Human,RFU,Protein,SL019805
PTPN9.12633.3,12633-3,3.0,SL019812,Tyrosine-protein phosphatase non-receptor type 9,PTN9,P43378,5780,PTPN9,Human,RFU,Protein,SL019812
BCAR3.12634.79,12634-79,3.0,SL014470,Breast cancer anti-estrogen resistance protein 3,BCAR3,O75815,8412,BCAR3,Human,RFU,Protein,SL014470
TRDMT1.12635.9,12635-9,3.0,SL019822,tRNA (cytosine(38)-C(5))-methyltransferase,TRDMT,O14717,1787,TRDMT1,Human,RFU,Protein,SL019822
