,names,scores,logfoldchanges,pvals,pvals_adj
124,HMGB3P27,11.128583,1.5519764,9.107190144602662e-29,7.821775307050172e-27
125,SLC30A2,11.106272,4.2652764,1.1694086773964754e-28,9.855820049309733e-27
126,ACE2,11.104555,3.3169007,1.192092295838908e-28,1.0000268208256067e-26
127,DEF8,11.081815,1.3549825,1.53724235544226e-28,1.283597366794287e-26
128,CYSTM1,11.056286,1.2670045,2.043868260630915e-28,1.6832515045086383e-26
129,NFKB2,11.010591,2.3765168,3.397685647312555e-28,2.711533554642887e-26
130,ST6GALNAC1,10.976051,2.8267624,4.982292745094872e-28,3.9069839978491785e-26
131,CCDC34,10.968543,1.33908,5.413793299904176e-28,4.20875758435654e-26
132,LIPH,10.941083,2.792625,7.331905113691767e-28,5.651206864553194e-26
133,NQO2,10.935934,1.8361838,7.760277680977181e-28,5.955930564004444e-26
134,FUCA1,10.911906,2.3292348,1.0111328867177864e-27,7.598663643684166e-26
135,PDCL3P4,10.910191,2.5887465,1.0304052759657776e-27,7.711364961543055e-26
136,PRDX1,10.890453,0.5777422,1.2800148319090051e-27,9.50055453016906e-26
137,DNMT3A,10.888737,1.6669128,1.3043645222955157e-27,9.641605952508984e-26
138,GMFB,10.857415,2.1651495,1.838796392335475e-27,1.3426935923952481e-25
139,CTSB,10.848834,1.5681821,2.0198480564863964e-27,1.4630513874212306e-25
140,GINS2,10.823949,1.3129286,2.6510381871643668e-27,1.9125649897478606e-25
141,N4BP2,10.758303,2.0252898,5.415872771471334e-27,3.8916606098110354e-25
142,NRBF2,10.733846,0.9715553,7.059567971530459e-27,5.032662764210409e-25
143,MFN2,10.715825,0.96336514,8.578886652318394e-27,6.0677960651456685e-25
144,RAD51,10.664766,1.2035563,1.4877193483766492e-26,1.0241414567679866e-24
145,ETHE1,10.62894,2.0442653,2.1858261081672648e-26,1.4820887100340146e-24
146,ARFGEF1,10.592256,1.9862695,3.236977686987341e-26,2.1623010949075436e-24
147,MRPL48,10.579812,1.0738494,3.6969763465072493e-26,2.460467357402389e-24
148,CTSA,10.577882,1.3023654,3.773942039714883e-26,2.5024565672168243e-24
149,SOAT2,10.557715,4.0526433,4.679096080769997e-26,3.0800064566703527e-24
150,C19orf33,10.518027,2.986904,7.135168180003118e-26,4.6125409782987905e-24
151,NUDT1,10.490138,1.2660861,9.588778783716843e-26,6.176543362254178e-24
152,FA2H,10.487993,3.9371943,9.808965437607997e-26,6.29588970223124e-24
153,ELF3,10.45281,1.3141227,1.4224693720646791e-25,9.033682251605124e-24
154,FGFR3,10.42535,2.132137,1.8995851153063172e-25,1.1937601790823952e-23
155,PINK1,10.337821,2.8255577,4.752179433104664e-25,2.915316607329106e-23
156,DUSP9,10.333101,4.091595,4.991976455716292e-25,3.0520436391626794e-23
157,CD22,10.276895,5.3721642,8.95670543557236e-25,5.402780576454284e-23
158,TRIM61,10.267026,1.6738881,9.921596750640724e-25,5.905805907411092e-23
159,DERA,10.264452,1.9197565,1.0189807250018596e-24,6.045505380307085e-23
160,SLC12A7,10.262092,3.2537122,1.0441971272059816e-24,6.17479979878265e-23
161,USP7,10.210819,0.9968972,1.7736130728861887e-24,1.0352390091448316e-22
162,LETM1,10.209532,1.0220555,1.7972988623285124e-24,1.0456800735792598e-22
163,TBX3,10.206529,1.3309448,1.8537912830619323e-24,1.0716339609392633e-22
164,ELOB,10.2060995,0.88350284,1.8620039390416196e-24,1.0729425892828961e-22
165,ALAD,10.203525,1.4531965,1.9120422737006837e-24,1.098267339123106e-22
166,NLRP2,10.185076,0.6944968,2.3118080533435394e-24,1.3194863939906354e-22
167,B4GALT5,10.173491,1.440288,2.604057242181157e-24,1.4816017798100741e-22
168,NF2,10.161048,1.6572684,2.9587923802435814e-24,1.6781377160400387e-22
169,HPRT1,10.144744,1.7358507,3.4969592084335234e-24,1.9771522345864271e-22
170,JAG2,10.120287,3.5457895,4.4909704926674595e-24,2.5155013604270283e-22
171,PET117,10.11857,1.6345692,4.570409074167904e-24,2.5520711474208146e-22
172,DEFB122,10.100764,7.909448,5.481312735840723e-24,3.0418755847268703e-22
173,IDH1,10.097117,1.1334867,5.688975113080117e-24,3.1474342067335273e-22
174,CCNDBP1,10.096259,1.4790924,5.738958356381088e-24,3.165377765005789e-22
175,RNF115,10.072661,1.8836433,7.297641080051542e-24,4.000615638899988e-22
176,PLPP1,10.067083,2.903722,7.723459969741984e-24,4.221221939826255e-22
177,KRBOX1,10.051637,3.0674243,9.035382330322785e-24,4.923327967060475e-22
178,HNF4A,10.051208,2.7774143,9.074813278091107e-24,4.929919647097928e-22
179,EFR3B,10.049063,2.9984486,9.274538899310687e-24,5.023290798437465e-22
180,SALL4,10.032759,1.3005289,1.0941649562821919e-23,5.873321176043337e-22
181,CXADR,10.028468,1.9520537,1.1427626116242378e-23,6.115984113725446e-22
