target,trimester,central_cluster
EMAP-2,Third,sPTD-specific
ENTP3,Third,sPTD-specific
EPO-R,Third,sPTD-specific
Endoglin,Third,sPTD-specific
Endothelin-converting enzyme 1,Third,sPTD-specific
FGF-4,Third,sPTD-specific
FGF-6,Third,sPTD-specific
FGF-8A,Third,sPTD-specific
FLRT1,Third,sPTD-specific
FST,Third,sPTD-specific
FSTL3,Third,sPTD-specific
FYN,Third,sPTD-specific
Flt-3,Third,sPTD-specific
Fractalkine/CX3CL-1,Third,sPTD-specific
GA733-1 protein,Third,sPTD-specific
GDF-11,Third,sPTD-specific
GIB,Third,sPTD-specific
GRN,Third,sPTD-specific
Galectin-4,Third,sPTD-specific
Glucocorticoid receptor,Third,sPTD-specific
Glutamate carboxypeptidase,Third,sPTD-specific
Glypican 3,Third,sPTD-specific
H6ST1,Third,sPTD-specific
HAI-1,Third,sPTD-specific
HB-EGF,Third,sPTD-specific
HCC-4,Third,sPTD-specific
HIPK3,Third,sPTD-specific
HNRPQ,Third,sPTD-specific
HO-2,Third,sPTD-specific
HPG-,Third,sPTD-specific
Hat1,Third,sPTD-specific
I-309,Third,sPTD-specific
IDS,Third,sPTD-specific
IFN-lambda 1,Third,sPTD-specific
IL-1 R AcP,Third,sPTD-specific
IL-11 RA,Third,sPTD-specific
IL-13 Ra1,Third,sPTD-specific
IL-18 BPa,Third,sPTD-specific
IL-18 Ra,Third,sPTD-specific
IL-19,Third,sPTD-specific
IL-1F7,Third,sPTD-specific
IL-22,Third,sPTD-specific
IL-23 R,Third,sPTD-specific
IL-3 Ra,Third,sPTD-specific
IL-34,Third,sPTD-specific
IMDH2,Third,sPTD-specific
IR,Third,sPTD-specific
KIF23,Third,sPTD-specific
KREM2,Third,sPTD-specific
KYNU,Third,sPTD-specific
Kallikrein 6,Third,sPTD-specific
Kallistatin,Third,sPTD-specific
Keratin 18,Third,sPTD-specific
LD78-beta,Third,sPTD-specific
LG3BP,Third,sPTD-specific
LRIG3,Third,sPTD-specific
LRP8,Third,sPTD-specific
LY86,Third,sPTD-specific
LY9,Third,sPTD-specific
Lactoferrin,Third,sPTD-specific
Layilin,Third,sPTD-specific
Lymphotoxin b R,Third,sPTD-specific
Lysozyme,Third,sPTD-specific
MATN3,Third,sPTD-specific
MBD4,Third,sPTD-specific
MED-1,Third,sPTD-specific
MFRP,Third,sPTD-specific
MIA,Third,sPTD-specific
MIF,Third,sPTD-specific
MK12,Third,sPTD-specific
MMP-1,Third,sPTD-specific
MMP-2,Third,sPTD-specific
MMP-3,Third,sPTD-specific
MSP R,Third,sPTD-specific
Macrophage mannose receptor,Third,sPTD-specific
Mesothelin,Third,sPTD-specific
Met,Third,sPTD-specific
Mn SOD,Third,sPTD-specific
"Myokinase, human",Third,sPTD-specific
NAGK,Third,sPTD-specific
NCAM-120,Third,sPTD-specific
NCK1,Third,sPTD-specific
NKp46,Third,sPTD-specific
NUDC3,Third,sPTD-specific
Neurotrophin-3,Third,sPTD-specific
Noggin,Third,sPTD-specific
OPG,Third,sPTD-specific
OSM,Third,sPTD-specific
