protein_name,trimester,.y.,n,statistic,df,p,p_adj_bh,p_adj_by,method
NDP kinase B,Third,log2rfu,326,156.04907474070524,2,1.3e-34,2.118181818181818e-33,1.7646686660854002e-32,Kruskal-Wallis
STX1a,Second,log2rfu,372,156.04065431664594,2,1.31e-34,2.119652777777778e-33,1.7658941304368485e-32,Kruskal-Wallis
HIPK3,Second,log2rfu,372,156.02702805550985,2,1.32e-34,2.1211034482758624e-33,1.7671026918317252e-32,Kruskal-Wallis
Siglec-7,Third,log2rfu,326,155.9883585999694,2,1.3399999999999998e-34,2.138493150684931e-33,1.781590146445123e-32,Kruskal-Wallis
sRAGE,Third,log2rfu,326,155.93528316150832,2,1.38e-34,2.1873469387755103e-33,1.8222905000800253e-32,Kruskal-Wallis
BNP-32,Third,log2rfu,326,155.85774354300315,2,1.4299999999999998e-34,2.2512837837837835e-33,1.875556629562388e-32,Kruskal-Wallis
IL-17 RC,Second,log2rfu,372,155.7735420377353,2,1.49e-34,2.3299999999999998e-33,1.9411355326939404e-32,Kruskal-Wallis
M2-PK,Second,log2rfu,372,155.74314146507822,2,1.5199999999999998e-34,2.3610666666666663e-33,1.9670173397965262e-32,Kruskal-Wallis
CSF-1,Second,log2rfu,372,155.59733341399942,2,1.6299999999999999e-34,2.5151655629139072e-33,2.0953979591331936e-32,Kruskal-Wallis
Macrophage scavenger receptor,Second,log2rfu,372,155.52693421543927,2,1.69e-34,2.590592105263158e-33,2.158236217271552e-32,Kruskal-Wallis
PPIE,Third,log2rfu,326,155.49511569739025,2,1.7199999999999999e-34,2.619346405228758e-33,2.182191579237632e-32,Kruskal-Wallis
PARK7,Third,log2rfu,326,155.4308008225023,2,1.77e-34,2.660709677419355e-33,2.2166515437859834e-32,Kruskal-Wallis
IL-17B R,Third,log2rfu,326,155.44971186858947,2,1.76e-34,2.660709677419355e-33,2.2166515437859834e-32,Kruskal-Wallis
Cadherin-6,Third,log2rfu,326,155.40279905269472,2,1.7999999999999998e-34,2.6861783439490446e-33,2.2378696268637146e-32,Kruskal-Wallis
EphA5,Third,log2rfu,326,155.3938360087377,2,1.8099999999999998e-34,2.6861783439490446e-33,2.2378696268637146e-32,Kruskal-Wallis
GPC5,Second,log2rfu,372,155.2249250906798,2,1.9599999999999998e-34,2.850993788819876e-33,2.375178260501281e-32,Kruskal-Wallis
MATK,Third,log2rfu,326,155.22787096159664,2,1.9599999999999998e-34,2.850993788819876e-33,2.375178260501281e-32,Kruskal-Wallis
PERL,Second,log2rfu,372,155.24667193221353,2,1.9399999999999997e-34,2.850993788819876e-33,2.375178260501281e-32,Kruskal-Wallis
a2-Antiplasmin,Second,log2rfu,372,155.2238921798098,2,1.97e-34,2.850993788819876e-33,2.375178260501281e-32,Kruskal-Wallis
GPC5,Third,log2rfu,326,155.1797744193832,2,2.01e-34,2.87319018404908e-33,2.3936701967575583e-32,Kruskal-Wallis
FGFR-3,Third,log2rfu,326,155.1817959830455,2,2.01e-34,2.87319018404908e-33,2.3936701967575583e-32,Kruskal-Wallis
Cyclophilin F,Second,log2rfu,372,155.1462659373817,2,2.04e-34,2.898292682926829e-33,2.4145832235949014e-32,Kruskal-Wallis
IL-13 Ra1,Second,log2rfu,372,155.11530648159828,2,2.08e-34,2.9195180722891568e-33,2.4322662096406e-32,Kruskal-Wallis
WFKN1,Third,log2rfu,326,155.11413664416182,2,2.08e-34,2.9195180722891568e-33,2.4322662096406e-32,Kruskal-Wallis
SIRT2,Third,log2rfu,326,155.07823819803662,2,2.11e-34,2.9438922155688622e-33,2.452572439511505e-32,Kruskal-Wallis
AN32B,Second,log2rfu,372,155.04190094091496,2,2.15e-34,2.9642011834319527e-33,2.469491949876906e-32,Kruskal-Wallis
Glucagon,Second,log2rfu,372,155.0465161985394,2,2.15e-34,2.9642011834319527e-33,2.469491949876906e-32,Kruskal-Wallis
Endoglin,Third,log2rfu,326,154.98951270380144,2,2.2099999999999997e-34,3.0289999999999994e-33,2.523476192502122e-32,Kruskal-Wallis
GDF2,Second,log2rfu,372,154.9589892907445,2,2.24e-34,3.0344186046511627e-33,2.527990461182806e-32,Kruskal-Wallis
XPNPEP1,Third,log2rfu,326,154.97056984252026,2,2.2299999999999997e-34,3.0344186046511627e-33,2.527990461182806e-32,Kruskal-Wallis
DSC3,Second,log2rfu,372,154.90564998548848,2,2.3e-34,3.0976878612716765e-33,2.580700419188476e-32,Kruskal-Wallis
FN1.3,Second,log2rfu,372,154.86972071652372,2,2.35e-34,3.128857142857143e-33,2.606667715331863e-32,Kruskal-Wallis
Ku70,Second,log2rfu,372,154.8746681204084,2,2.3399999999999998e-34,3.128857142857143e-33,2.606667715331863e-32,Kruskal-Wallis
GFRa-3,Third,log2rfu,326,154.84503150165074,2,2.38e-34,3.150795454545454e-33,2.6249446408020327e-32,Kruskal-Wallis
TrkB,Third,log2rfu,326,154.71950107966336,2,2.53e-34,3.3304519774011295e-33,2.7746174563365363e-32,Kruskal-Wallis
PTHrP,Second,log2rfu,372,154.55230183594495,2,2.75e-34,3.5997191011235956e-33,2.9989453454541215e-32,Kruskal-Wallis
amyloid precursor protein,Second,log2rfu,372,154.46540279416763,2,2.87e-34,3.7358100558659214e-33,3.112323451861234e-32,Kruskal-Wallis
LRIG3,Third,log2rfu,326,154.43273731753243,2,2.92e-34,3.738241758241758e-33,3.114349316190278e-32,Kruskal-Wallis
HSP70 protein 8,Second,log2rfu,372,154.44127428561978,2,2.91e-34,3.738241758241758e-33,3.114349316190278e-32,Kruskal-Wallis
LAG-3,Second,log2rfu,372,154.4565658684087,2,2.89e-34,3.738241758241758e-33,3.114349316190278e-32,Kruskal-Wallis
NOTC2,Second,log2rfu,372,154.40031045537398,2,2.9699999999999997e-34,3.760923913043478e-33,3.1332459413592403e-32,Kruskal-Wallis
contactin-1,Second,log2rfu,372,154.40579838098392,2,2.96e-34,3.760923913043478e-33,3.1332459413592403e-32,Kruskal-Wallis
ALT,Third,log2rfu,326,154.2621257577232,2,3.18e-34,4.005081081081081e-33,3.3366545913333674e-32,Kruskal-Wallis
Glucocorticoid receptor,Second,log2rfu,372,154.25244228516544,2,3.2e-34,4.008602150537635e-33,3.339588013236887e-32,Kruskal-Wallis
IFN-g R1,Third,log2rfu,326,154.21802463401013,2,3.25e-34,4.0279255319148936e-33,3.3556864261996307e-32,Kruskal-Wallis
LRRT3,Third,log2rfu,326,154.22272750063166,2,3.2399999999999997e-34,4.0279255319148936e-33,3.3556864261996307e-32,Kruskal-Wallis
vWF,Second,log2rfu,372,154.1312113616268,2,3.39e-34,4.179206349206349e-33,3.481719288800242e-32,Kruskal-Wallis
LAG-3,Third,log2rfu,326,154.00360420893503,2,3.6199999999999997e-34,4.4392631578947365e-33,3.698374014922139e-32,Kruskal-Wallis
Cyclophilin A,Second,log2rfu,372,153.8389004983269,2,3.93e-34,4.794188481675393e-33,3.9940642112498356e-32,Kruskal-Wallis
Rab GDP dissociation inhibitor beta,Third,log2rfu,326,153.81396364380907,2,3.98e-34,4.829895833333333e-33,4.023812197980147e-32,Kruskal-Wallis
M-CSF R,Second,log2rfu,372,153.72208256525892,2,4.17e-34,4.969081632653061e-33,4.1397686360513623e-32,Kruskal-Wallis
HSP70 protein 8,Third,log2rfu,326,153.717429628437,2,4.18e-34,4.969081632653061e-33,4.1397686360513623e-32,Kruskal-Wallis
IGFBP-3,Third,log2rfu,326,153.717429628437,2,4.18e-34,4.969081632653061e-33,4.1397686360513623e-32,Kruskal-Wallis
ITI heavy chain H4,Third,log2rfu,326,153.73289579295033,2,4.14e-34,4.969081632653061e-33,4.1397686360513623e-32,Kruskal-Wallis
CAMK2D,Third,log2rfu,326,153.6462338869244,2,4.329999999999999e-34,5.121269035532994e-33,4.266556779982112e-32,Kruskal-Wallis
CAMK2A,Third,log2rfu,326,153.59485102235294,2,4.44e-34,5.224848484848485e-33,4.352849376343987e-32,Kruskal-Wallis
DERM,Third,log2rfu,326,153.48753354177552,2,4.6799999999999996e-34,5.479597989949748e-33,4.565082559300321e-32,Kruskal-Wallis
PTN,Third,log2rfu,326,153.4660293758427,2,4.7299999999999995e-34,5.510449999999999e-33,4.5907855348211684e-32,Kruskal-Wallis
TWEAKR,Third,log2rfu,326,153.43643740500306,2,4.81e-34,5.575771144278606e-33,4.645204931471568e-32,Kruskal-Wallis
RANTES,Second,log2rfu,372,153.33388711556427,2,5.06e-34,5.8365346534653465e-33,4.8624484135798704e-32,Kruskal-Wallis
Apo A-I,Second,log2rfu,372,153.2122112471368,2,5.38e-34,6.175073891625616e-33,5.144487273839112e-32,Kruskal-Wallis
