term_description,trimester,.y.,n,statistic,df,p,p_adj_bh,p_adj_by,method
Negative regulation of macrophage activation,Third,log2rfu,978,141.5595157577286,2,1.82e-31,2.7289832402234635e-30,2.312121619062238e-29,Kruskal-Wallis
Regulation of myeloid leukocyte differentiation,Second,log2rfu,744,141.2796819780947,2,2.1e-31,3.1140331491712705e-30,2.6383538237068037e-29,Kruskal-Wallis
Negative regulation of myeloid leukocyte differentiation,Second,log2rfu,744,141.2796819780947,2,2.1e-31,3.1140331491712705e-30,2.6383538237068037e-29,Kruskal-Wallis
Response to yeast,Third,log2rfu,326,141.25703490774777,2,2.1199999999999996e-31,3.1264175824175816e-30,2.6488464919748154e-29,Kruskal-Wallis
Liver regeneration,Third,log2rfu,326,140.9772588543094,2,2.44e-31,3.5786666666666664e-30,3.0320129656567074e-29,Kruskal-Wallis
Regulation of hormone levels,Second,log2rfu,4092,140.73,2,2.7599999999999996e-31,4.026e-30,3.411014586363796e-29,Kruskal-Wallis
Response to interleukin-4,Second,log2rfu,372,140.69099541842002,2,2.8099999999999997e-31,4.0767783783783775e-30,3.454036391957574e-29,Kruskal-Wallis
Epithelial cell differentiation,Second,log2rfu,6696,140.64454974944238,2,2.88e-31,4.1558709677419355e-30,3.5210473149561767e-29,Kruskal-Wallis
Regulation of metal ion transport,Third,log2rfu,4564,139.54544018166598,2,4.989999999999999e-31,7.162117647058823e-30,6.068079424583009e-29,Kruskal-Wallis
Cell migration,Second,log2rfu,13392,139.1002517185043,2,6.229999999999999e-31,8.847259259259258e-30,7.495809831762415e-29,Kruskal-Wallis
Cell motility,Second,log2rfu,13392,139.1002517185043,2,6.229999999999999e-31,8.847259259259258e-30,7.495809831762415e-29,Kruskal-Wallis
Regulation of endothelial cell apoptotic process,Second,log2rfu,1116,138.6071396733514,2,7.98e-31,1.1272800000000001e-29,9.550840841818629e-29,Kruskal-Wallis
Response to UV-A,Third,log2rfu,326,138.50348045369742,2,8.4e-31,1.1803979057591623e-29,1.0000880462637307e-28,Kruskal-Wallis
Regulation of mast cell activation involved in immune response,Third,log2rfu,1630,137.9527515045047,2,1.11e-30,1.5436476683937823e-29,1.3078501522845645e-28,Kruskal-Wallis
Regulation of mast cell degranulation,Third,log2rfu,1630,137.9527515045047,2,1.11e-30,1.5436476683937823e-29,1.3078501522845645e-28,Kruskal-Wallis
Peptidyl-amino acid modification,Second,log2rfu,19716,137.37791486244532,2,1.47e-30,2.0337525773195877e-29,1.7230898425961444e-28,Kruskal-Wallis
Neurotrophin signaling pathway,Third,log2rfu,326,136.45039846504983,2,2.35e-30,3.2345641025641026e-29,2.740473257420486e-28,Kruskal-Wallis
Platelet activation,Third,log2rfu,1630,135.71550550093707,2,3.39e-30,4.6422244897959184e-29,3.9331086557051936e-28,Kruskal-Wallis
Nitrogen compound metabolic process,Second,log2rfu,49104,134.72146619914565,2,5.5699999999999996e-30,7.58877157360406e-29,6.429560489355785e-28,Kruskal-Wallis
Multicellular organism development,Second,log2rfu,44268,134.60493852104992,2,5.9e-30,7.997777777777777e-29,6.776089582338854e-28,Kruskal-Wallis
Primary metabolic process,Second,log2rfu,49848,134.1282202526927,2,7.489999999999999e-30,1.0102090452261305e-28,8.558961223405303e-28,Kruskal-Wallis
Regulation of signaling,Second,log2rfu,43896,133.95820829176228,2,8.149999999999999e-30,1.0937299999999998e-28,9.266589626288312e-28,Kruskal-Wallis
Response to metal ion,Second,log2rfu,2976,133.6963715487891,2,9.289999999999999e-30,1.240515422885572e-28,1.0510224048862243e-27,Kruskal-Wallis
Regulation of plasma lipoprotein particle levels,Third,log2rfu,326,132.69573130323147,2,1.53e-29,2.032930693069307e-28,1.7223935040054814e-27,Kruskal-Wallis
Regulation of nucleocytoplasmic transport,Second,log2rfu,2604,132.56798040243575,2,1.63e-29,2.1551330049261086e-28,1.825928990401638e-27,Kruskal-Wallis
Fc receptor signaling pathway,Second,log2rfu,4092,131.86250748949897,2,2.3200000000000002e-29,3.0523921568627453e-28,2.5861287060013097e-27,Kruskal-Wallis
Negative regulation of mononuclear cell migration,Third,log2rfu,326,131.67059542875154,2,2.56e-29,3.351726829268293e-28,2.839738972712624e-27,Kruskal-Wallis
Peptidyl-serine phosphorylation,Third,log2rfu,4564,131.35309229265476,2,3e-29,3.9087378640776703e-28,3.311664646955142e-27,Kruskal-Wallis
Regulation of protein localization,Second,log2rfu,10788,131.16401143670373,2,3.3e-29,4.278840579710146e-28,3.625232893719977e-27,Kruskal-Wallis
Regulation of interleukin-23 production,Third,log2rfu,326,130.07626632641063,2,5.68e-29,7.329384615384615e-28,6.209795785431527e-27,Kruskal-Wallis
Response to stress,Second,log2rfu,33852,129.7135591582919,2,6.81e-29,8.745473684210527e-28,7.409572355067769e-27,Kruskal-Wallis
Cellular process,Second,log2rfu,89280,128.65719785314286,2,1.15e-28,1.4698095238095238e-27,1.2452910394661478e-26,Kruskal-Wallis
Epithelial cell apoptotic process,Third,log2rfu,652,128.51281471648554,2,1.2399999999999999e-28,1.5773270142180092e-27,1.3363848616401603e-26,Kruskal-Wallis
Organic substance metabolic process,Second,log2rfu,52080,128.49679294790258,2,1.25e-28,1.5825471698113208e-27,1.3408076204260207e-26,Kruskal-Wallis
Regulation of monooxygenase activity,Second,log2rfu,744,127.92993431153218,2,1.66e-28,2.0819813084112152e-27,1.763951468337664e-26,Kruskal-Wallis
Positive regulation of monooxygenase activity,Second,log2rfu,744,127.92993431153218,2,1.66e-28,2.0819813084112152e-27,1.763951468337664e-26,Kruskal-Wallis
Ovulation cycle process,Third,log2rfu,326,127.43403928240673,2,2.13e-28,2.659032558139535e-27,2.252856145412368e-26,Kruskal-Wallis
Kidney vasculature development,Second,log2rfu,372,126.9045979200489,2,2.7699999999999997e-28,3.441981481481481e-27,2.916206914885097e-26,Kruskal-Wallis
Protein metabolic process,Second,log2rfu,39432,126.81199713339447,2,2.9e-28,3.586912442396314e-27,3.0389991706467e-26,Kruskal-Wallis
Organonitrogen compound metabolic process,Second,log2rfu,46500,126.37751102101174,2,3.61e-28,4.444605504587156e-27,3.765676653447494e-26,Kruskal-Wallis
Stress-activated MAPK cascade,Third,log2rfu,326,126.19106328248722,2,3.96e-28,4.853260273972603e-27,4.111907994520741e-26,Kruskal-Wallis
Regulation of stress-activated protein kinase signaling cascade,Third,log2rfu,2282,125.60922254807247,2,5.3e-28,6.466e-27,5.478296153857006e-26,Kruskal-Wallis
Negative regulation of catabolic process,Third,log2rfu,1956,125.57736214358283,2,5.39e-28,6.546045248868778e-27,5.546114214329069e-26,Kruskal-Wallis
Fc receptor signaling pathway,Third,log2rfu,3586,125.37563139003942,2,5.96e-28,7.205693693693694e-27,6.104999079497966e-26,Kruskal-Wallis
Regulation of protein import into nucleus,Third,log2rfu,1304,125.36582495332823,2,5.989999999999999e-28,7.209488789237667e-27,6.108214461081955e-26,Kruskal-Wallis
Positive regulation of endothelial cell chemotaxis,Second,log2rfu,372,125.35218770260553,2,6.03e-28,7.225232142857143e-27,6.121552963027884e-26,Kruskal-Wallis
Platelet activation,Second,log2rfu,1860,125.02850184275212,2,7.09e-28,8.457582222222221e-27,7.165657308835353e-26,Kruskal-Wallis
Hemostasis,Third,log2rfu,1956,124.92770175369151,2,7.45e-28,8.808722466960353e-27,7.463159667668218e-26,Kruskal-Wallis
Blood coagulation,Third,log2rfu,1956,124.92770175369151,2,7.45e-28,8.808722466960353e-27,7.463159667668218e-26,Kruskal-Wallis
Regulation of plasma lipoprotein particle levels,Second,log2rfu,372,123.42960987729634,2,1.5800000000000002e-27,1.859964912280702e-26,1.575848843992631e-25,Kruskal-Wallis
Negative regulation of endothelial cell proliferation,Second,log2rfu,1116,123.21799092021774,2,1.75e-27,2.0510917030567685e-26,1.7377803569538993e-25,Kruskal-Wallis
Regulation of peptide transport,Second,log2rfu,744,123.0657778099121,2,1.89e-27,2.1865344827586209e-26,1.8525337839734412e-25,Kruskal-Wallis
Regulation of peptide hormone secretion,Second,log2rfu,744,123.0657778099121,2,1.89e-27,2.1865344827586209e-26,1.8525337839734412e-25,Kruskal-Wallis
Regulation of cold-induced thermogenesis,Second,log2rfu,744,123.0657778099121,2,1.89e-27,2.1865344827586209e-26,1.8525337839734412e-25,Kruskal-Wallis
Regulation of JNK cascade,Second,log2rfu,1860,122.6284017411599,2,2.35e-27,2.7070386266094423e-26,2.293529121017145e-25,Kruskal-Wallis
Regulation of protein dephosphorylation,Third,log2rfu,652,122.4080433044087,2,2.6300000000000002e-27,3.003795744680851e-26,2.5449555637267476e-25,Kruskal-Wallis
Regulation of dephosphorylation,Third,log2rfu,652,122.4080433044087,2,2.6300000000000002e-27,3.003795744680851e-26,2.5449555637267476e-25,Kruskal-Wallis
Negative regulation of defense response,Second,log2rfu,5208,122.18698479411978,2,2.93e-27,3.332254237288136e-26,2.8232408864536507e-25,Kruskal-Wallis
Negative regulation of inflammatory response,Second,log2rfu,3348,121.12908190784401,2,4.9800000000000004e-27,5.63979746835443e-26,4.778298914231141e-25,Kruskal-Wallis
Odontogenesis,Third,log2rfu,1956,121.09038011556731,2,5.08e-27,5.728873949579832e-26,4.853768655105907e-25,Kruskal-Wallis
Regulation of neuroinflammatory response,Third,log2rfu,652,120.67648977791441,2,6.240000000000001e-27,6.94944398340249e-26,5.887892398038753e-25,Kruskal-Wallis
Negative regulation of neuroinflammatory response,Third,log2rfu,652,120.67648977791441,2,6.240000000000001e-27,6.94944398340249e-26,5.887892398038753e-25,Kruskal-Wallis
Regulation of microglial cell activation,Third,log2rfu,652,120.67648977791441,2,6.240000000000001e-27,6.94944398340249e-26,5.887892398038753e-25,Kruskal-Wallis
Positive regulation of ion transport,Second,log2rfu,2976,120.44121274525423,2,7.020000000000001e-27,7.785818181818184e-26,6.596507547182879e-25,Kruskal-Wallis
Antigen receptor-mediated signaling pathway,Third,log2rfu,3912,119.90787005380844,2,9.17e-27,1.0128510288065843e-25,8.581345337985189e-25,Kruskal-Wallis
Regulation of calcium ion import,Second,log2rfu,744,119.34394693936429,2,1.22e-26,1.3419999999999999e-25,1.1370048621212655e-24,Kruskal-Wallis
Positive regulation of DNA metabolic process,Third,log2rfu,2934,118.43359505115404,2,1.92e-26,2.1033795918367348e-25,1.7820810900186365e-24,Kruskal-Wallis
Phosphate-containing compound metabolic process,Second,log2rfu,27900,118.36467363187694,2,1.98e-26,2.1602926829268294e-25,1.8303005097561836e-24,Kruskal-Wallis
Cellular response to hormone stimulus,Second,log2rfu,7440,118.36030657209267,2,1.99e-26,2.162412955465587e-25,1.8320969033370998e-24,Kruskal-Wallis
Regulation of osteoclast differentiation,Third,log2rfu,326,118.27834089211865,2,2.0700000000000002e-26,2.2312771084337353e-25,1.89044181894861e-24,Kruskal-Wallis
Negative regulation of osteoclast differentiation,Third,log2rfu,326,118.27834089211865,2,2.0700000000000002e-26,2.2312771084337353e-25,1.89044181894861e-24,Kruskal-Wallis
Regulation of mitotic nuclear division,Third,log2rfu,652,118.16696709484268,2,2.19e-26,2.351184e-25,1.992032518436457e-24,Kruskal-Wallis
Negative regulation of inflammatory response to antigenic stimulus,Second,log2rfu,2232,116.86404271485935,2,4.2e-26,4.491155378486055e-25,3.8051158732345146e-24,Kruskal-Wallis
Positive regulation of stress-activated protein kinase signaling cascade,Third,log2rfu,1630,115.88604208260494,2,6.85e-26,7.29579365079365e-25,6.181335956770372e-24,Kruskal-Wallis
Metabolic process,Second,log2rfu,53196,115.7073397039785,2,7.490000000000001e-26,7.9459130434782605e-25,6.73214736544528e-24,Kruskal-Wallis
Regulation of protein secretion,Second,log2rfu,1860,114.71,2,1.24e-25,1.3102992125984252e-24,1.1101464795514717e-23,Kruskal-Wallis
Regulation of stress-activated MAPK cascade,Second,log2rfu,2232,114.6520963875455,2,1.27e-25,1.3367372549019608e-24,1.1325460195247115e-23,Kruskal-Wallis
Cytolysis,Third,log2rfu,2282,113.70669380079562,2,2.04e-25,2.1388124999999998e-24,1.8121014990057667e-23,Kruskal-Wallis
Cellular response to peptide hormone stimulus,Second,log2rfu,4836,113.69095287567507,2,2.05e-25,2.1409338521400777e-24,1.8138988072751705e-23,Kruskal-Wallis
Negative regulation of cell killing,Second,log2rfu,744,113.11190537192579,2,2.74e-25,2.850449612403101e-24,2.4150335831102846e-23,Kruskal-Wallis
Positive regulation of reactive oxygen species metabolic process,Second,log2rfu,1488,113.06679002429792,2,2.8e-25,2.9016216216216213e-24,2.4583888910730062e-23,Kruskal-Wallis
Positive regulation of intracellular protein transport,Third,log2rfu,2934,112.99748354923031,2,2.9e-25,2.9822222222222223e-24,2.52667747138059e-23,Kruskal-Wallis
Positive regulation of intracellular transport,Third,log2rfu,2934,112.99748354923031,2,2.9e-25,2.9822222222222223e-24,2.52667747138059e-23,Kruskal-Wallis
Epidermis morphogenesis,Third,log2rfu,978,112.84311654416115,2,3.14e-25,3.2044714828897336e-24,2.714977389399828e-23,Kruskal-Wallis
Hair follicle morphogenesis,Third,log2rfu,978,112.84311654416115,2,3.14e-25,3.2044714828897336e-24,2.714977389399828e-23,Kruskal-Wallis
Regulation of lymphocyte mediated immunity,Second,log2rfu,2232,112.26537149956039,2,4.19e-25,4.2598333333333335e-24,3.609129069915229e-23,Kruskal-Wallis
Negative regulation of inflammatory response to antigenic stimulus,Third,log2rfu,1956,111.96242022506067,2,4.87e-25,4.932483018867925e-24,4.179029191343821e-23,Kruskal-Wallis
Protein modification process,Second,log2rfu,29016,111.72107067081379,2,5.5e-25,5.549624060150376e-24,4.7018998057646314e-23,Kruskal-Wallis
System development,Second,log2rfu,41664,111.49162782618077,2,6.16e-25,6.192299625468165e-24,5.246404457428461e-23,Kruskal-Wallis
Cellular response to toxic substance,Third,log2rfu,652,111.29883684295237,2,6.79e-25,6.774855018587362e-24,5.739972500969066e-23,Kruskal-Wallis
Cellular detoxification,Third,log2rfu,652,111.29883684295237,2,6.79e-25,6.774855018587362e-24,5.739972500969066e-23,Kruskal-Wallis
Circulatory system process,Second,log2rfu,3720,111.10210430329607,2,7.49e-25,7.445614814814816e-24,6.308271420213539e-23,Kruskal-Wallis
Bergmann glial cell differentiation,Third,log2rfu,652,110.58801223464297,2,9.69e-25,9.597033210332104e-24,8.131053220631042e-23,Kruskal-Wallis
Regulation of immune response,Second,log2rfu,21204,110.08530997269554,2,1.25e-24,1.233455882352941e-23,1.0450412335673395e-22,Kruskal-Wallis
Regulation of epithelial cell apoptotic process,Second,log2rfu,1488,109.75640060390288,2,1.4699999999999999e-24,1.445230769230769e-23,1.2244667745921318e-22,Kruskal-Wallis
Response to heat,Second,log2rfu,1860,109.60403478906937,2,1.58e-24,1.54208e-23,1.3065219506557086e-22,Kruskal-Wallis
Response to temperature stimulus,Second,log2rfu,1860,109.60403478906937,2,1.58e-24,1.54208e-23,1.3065219506557086e-22,Kruskal-Wallis
Positive regulation of phospholipase activity,Second,log2rfu,1116,109.56217888521951,2,1.62e-24,1.5697039711191336e-23,1.3299262647194585e-22,Kruskal-Wallis
Positive regulation of lipase activity,Second,log2rfu,1116,109.56217888521951,2,1.62e-24,1.5697039711191336e-23,1.3299262647194585e-22,Kruskal-Wallis
Regulation of JNK cascade,Third,log2rfu,1630,108.93625835289004,2,2.21e-24,2.13368345323741e-23,1.807755931861868e-22,Kruskal-Wallis
Mammary gland morphogenesis,Third,log2rfu,326,108.84713370663349,2,2.31e-24,2.190826855123675e-23,1.8561704816255286e-22,Kruskal-Wallis
Mammary gland duct morphogenesis,Third,log2rfu,326,108.84713370663349,2,2.31e-24,2.190826855123675e-23,1.8561704816255286e-22,Kruskal-Wallis
Branch elongation of an epithelium,Third,log2rfu,326,108.84713370663349,2,2.31e-24,2.190826855123675e-23,1.8561704816255286e-22,Kruskal-Wallis
Branching involved in mammary gland duct morphogenesis,Third,log2rfu,326,108.84713370663349,2,2.31e-24,2.190826855123675e-23,1.8561704816255286e-22,Kruskal-Wallis
Axis elongation,Third,log2rfu,326,108.84713370663349,2,2.31e-24,2.190826855123675e-23,1.8561704816255286e-22,Kruskal-Wallis
Negative regulation of leukocyte apoptotic process,Third,log2rfu,978,108.72698812663839,2,2.46e-24,2.3248732394366196e-23,1.969740817477685e-22,Kruskal-Wallis
Antigen processing and presentation of peptide antigen,Third,log2rfu,652,108.71331516214377,2,2.47e-24,2.3261333333333337e-23,1.97080842767686e-22,Kruskal-Wallis
Negative regulation of lymphocyte activation,Second,log2rfu,3348,107.97312821696141,2,3.58e-24,3.359692307692308e-23,2.846487696779112e-22,Kruskal-Wallis
Biological regulation,Second,log2rfu,82212,107.82138525455957,2,3.86e-24,3.6098397212543554e-23,3.0584242284237527e-22,Kruskal-Wallis
Epidermal growth factor receptor signaling pathway,Second,log2rfu,2976,107.73593173911468,2,4.03e-24,3.755736111111111e-23,3.1820344405199304e-22,Kruskal-Wallis
Negative regulation of extrinsic apoptotic signaling pathway,Third,log2rfu,1304,107.66071116129206,2,4.1899999999999995e-24,3.8913356401384077e-23,3.2969206728637383e-22,Kruskal-Wallis
Regulation of insulin receptor signaling pathway,Second,log2rfu,372,107.38522279901099,2,4.8e-24,4.412054794520548e-23,3.738098176837037e-22,Kruskal-Wallis
Regulation of cellular response to insulin stimulus,Second,log2rfu,372,107.38522279901099,2,4.8e-24,4.412054794520548e-23,3.738098176837037e-22,Kruskal-Wallis
Negative regulation of insulin receptor signaling pathway,Second,log2rfu,372,107.38522279901099,2,4.8e-24,4.412054794520548e-23,3.738098176837037e-22,Kruskal-Wallis
Regulation of interleukin-23 production,Second,log2rfu,372,106.93922624180095,2,6e-24,5.496245733788396e-23,4.656675203227026e-22,Kruskal-Wallis
Regulation of insulin receptor signaling pathway,Third,log2rfu,326,106.35654058511204,2,8.029999999999999e-24,7.281256756756756e-23,6.169019623536325e-22,Kruskal-Wallis
Regulation of cellular response to insulin stimulus,Third,log2rfu,326,106.35654058511204,2,8.029999999999999e-24,7.281256756756756e-23,6.169019623536325e-22,Kruskal-Wallis
Negative regulation of insulin receptor signaling pathway,Third,log2rfu,326,106.35654058511204,2,8.029999999999999e-24,7.281256756756756e-23,6.169019623536325e-22,Kruskal-Wallis
Regulation of trans-synaptic signaling,Second,log2rfu,5580,106.25368299633192,2,8.46e-24,7.619677852348993e-23,6.455745727212017e-22,Kruskal-Wallis
Modulation of chemical synaptic transmission,Second,log2rfu,5580,106.25368299633192,2,8.46e-24,7.619677852348993e-23,6.455745727212017e-22,Kruskal-Wallis
Endothelial cell proliferation,Second,log2rfu,744,105.32640733484595,2,1.34e-23,1.2028628762541806e-22,1.0191214148779235e-21,Kruskal-Wallis
Developmental process,Second,log2rfu,50964,105.29842289918452,2,1.36e-23,1.2086887417218543e-22,1.0240573592615369e-21,Kruskal-Wallis
Regulation of osteoclast differentiation,Second,log2rfu,372,105.29795348872904,2,1.36e-23,1.2086887417218543e-22,1.0240573592615369e-21,Kruskal-Wallis
Negative regulation of osteoclast differentiation,Second,log2rfu,372,105.29795348872904,2,1.36e-23,1.2086887417218543e-22,1.0240573592615369e-21,Kruskal-Wallis
Leukocyte activation,Second,log2rfu,10044,105.25089046531866,2,1.4e-23,1.24013201320132e-22,1.0506975623562847e-21,Kruskal-Wallis
Neurotrophin signaling pathway,Second,log2rfu,372,105.24,2,1.41e-23,1.2448815789473683e-22,1.0547216155203845e-21,Kruskal-Wallis
Cell differentiation,Second,log2rfu,36828,105.05627365257533,2,1.54e-23,1.3552e-22,1.148188516502786e-21,Kruskal-Wallis
Nephron development,Third,log2rfu,1304,104.91217875970051,2,1.6499999999999998e-23,1.4472549019607842e-22,1.2261817140523451e-21,Kruskal-Wallis
Toll-like receptor signaling pathway,Third,log2rfu,1956,104.6547718053007,2,1.88e-23,1.6436221498371336e-22,1.3925531861810937e-21,Kruskal-Wallis
Peptidyl-serine modification,Second,log2rfu,5580,104.49749415277256,2,2.0399999999999998e-23,1.7777142857142853e-22,1.5061622848879097e-21,Kruskal-Wallis
Viral process,Third,log2rfu,1956,103.93139805188093,2,2.7e-23,2.345242718446602e-22,1.986998788173085e-21,Kruskal-Wallis
Negative regulation of catabolic process,Second,log2rfu,2232,103.85980298606319,2,2.8e-23,2.424258064516129e-22,2.0539442670577695e-21,Kruskal-Wallis
Regulation of oxidoreductase activity,Second,log2rfu,1860,103.76025657072387,2,2.94e-23,2.53728617363344e-22,2.1497069418884376e-21,Kruskal-Wallis
Macromolecule modification,Second,log2rfu,29388,102.96438955349731,2,4.38e-23,3.7679230769230765e-22,3.1923598051866295e-21,Kruskal-Wallis
Regulation of protein transport,Second,log2rfu,5952,102.51419919528416,2,5.49e-23,4.686349206349205e-22,3.970493169312355e-21,Kruskal-Wallis
